model,author,model_creation_time,limitation_section_name,limitation_section_content,is_empty,has_limitation_in_content,limitation_section_content_clean
huggingtweets/erhanerkut,huggingtweets,2021-01-24 13:18:31+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/tk_tr,huggingtweets,2021-01-25 06:30:22+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/iotnerd,huggingtweets,2021-01-26 16:17:23+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/alanwattsdaily,huggingtweets,2021-01-27 16:46:38+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/timnitgebru,huggingtweets,2021-01-30 04:11:26+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/sfy____,huggingtweets,2021-01-30 15:18:23+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/tvistter,huggingtweets,2021-01-30 18:04:46+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/yeahyeahyens,huggingtweets,2021-02-01 10:29:03+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/wallstreetbets,huggingtweets,2021-02-01 19:30:13+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/ra_ed,huggingtweets,2021-02-02 19:25:46+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/rajupp,huggingtweets,2021-02-03 03:56:50+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/praticoslo,huggingtweets,2021-02-04 11:40:40+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/mike_pence,huggingtweets,2021-02-04 15:25:05+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/salesforce,huggingtweets,2021-02-05 00:07:19+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/bitcoin,huggingtweets,2021-02-06 15:32:38+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/thatonequeen,huggingtweets,2021-02-06 16:29:29+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/richardbspencer,huggingtweets,2021-02-06 16:34:46+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/zkarlinn,huggingtweets,2021-02-07 03:53:03+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/ddlcquotes,huggingtweets,2021-02-08 20:21:47+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/thecryptolark,huggingtweets,2021-02-09 02:29:21+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/dansalvato,huggingtweets,2021-02-09 08:09:18+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/donwinslow,huggingtweets,2021-02-09 13:43:10+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/deahq,huggingtweets,2021-02-09 13:59:27+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/therock,huggingtweets,2021-02-09 14:25:33+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/seffsaid,huggingtweets,2021-02-09 15:26:20+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/marcethemartian,huggingtweets,2021-02-09 17:46:02+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/fakegirl501,huggingtweets,2021-02-11 18:14:41+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/jattazoshin,huggingtweets,2021-02-12 04:53:35+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/noellayoshino,huggingtweets,2021-02-12 22:22:10+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/oann,huggingtweets,2021-02-14 03:59:49+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/news8,huggingtweets,2021-02-14 04:10:41+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/neil_mcneil,huggingtweets,2021-02-14 08:27:21+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/theeye_eee,huggingtweets,2021-02-14 17:32:43+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/oooolya,huggingtweets,2021-02-14 17:39:14+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/biiiclpher,huggingtweets,2021-02-14 17:46:50+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/etcanada,huggingtweets,2021-02-14 17:47:02+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/elvisquote,huggingtweets,2021-02-14 18:01:47+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/epresleyquotes,huggingtweets,2021-02-14 18:06:34+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/phoebe_bridgers,huggingtweets,2021-02-15 05:06:15+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/elhotzo,huggingtweets,2021-02-15 21:01:05+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/karchitecture,huggingtweets,2021-02-16 01:51:48+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/fdgwhite,huggingtweets,2021-02-16 01:58:22+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/dalailama,huggingtweets,2021-02-16 17:51:04+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/deliverydace,huggingtweets,2021-02-16 20:17:29+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/timelordpony125,huggingtweets,2021-02-17 06:11:51+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/vikjapan,huggingtweets,2021-02-20 03:10:12+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/thesamparr,huggingtweets,2021-02-22 11:47:02+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/rogerfederer,huggingtweets,2021-02-23 02:48:20+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/domonic_m,huggingtweets,2021-02-23 07:32:46+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/kimpossiblefact,huggingtweets,2021-02-23 14:25:16+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/java_jigga,huggingtweets,2021-02-23 14:38:15+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/fembojj,huggingtweets,2021-02-23 15:43:47+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/mike_massive,huggingtweets,2021-02-23 15:57:07+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/broschistocks,huggingtweets,2021-02-23 15:57:11+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/dudeswatcheva,huggingtweets,2021-02-23 15:57:52+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/paharnic,huggingtweets,2021-02-23 15:58:01+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/poppy_haze,huggingtweets,2021-02-23 15:59:13+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/bichebuni,huggingtweets,2021-02-23 16:01:22+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/indiburger,huggingtweets,2021-02-23 16:01:58+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/chick_in_kiev,huggingtweets,2021-02-23 16:04:47+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/jesusisathembo,huggingtweets,2021-02-23 16:06:03+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/darknessisdark,huggingtweets,2021-02-23 16:07:04+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/tomb_respecter,huggingtweets,2021-02-23 16:07:18+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/divorceenforcer,huggingtweets,2021-02-23 16:08:27+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/persimfan,huggingtweets,2021-02-23 16:09:32+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/frankietime,huggingtweets,2021-02-23 16:10:14+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/chainchompist,huggingtweets,2021-02-23 16:10:49+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/gudapoyo2,huggingtweets,2021-02-23 16:12:05+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/avantredguard,huggingtweets,2021-02-23 16:13:43+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/alexanderramek,huggingtweets,2021-02-23 16:14:28+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/taracharamod,huggingtweets,2021-02-23 16:18:04+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/mullbot_forever,huggingtweets,2021-02-23 16:18:27+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/krimsonmist,huggingtweets,2021-02-23 16:18:54+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/tryndamere_riot,huggingtweets,2021-02-23 16:23:24+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/spiffffer,huggingtweets,2021-02-23 16:25:13+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/chexmixfan8,huggingtweets,2021-02-23 16:28:01+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/gr8ful_ted,huggingtweets,2021-02-23 16:33:08+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/unmoglich1,huggingtweets,2021-02-23 16:37:46+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/clamtime,huggingtweets,2021-02-23 16:38:15+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/grubadubflub,huggingtweets,2021-02-23 16:39:47+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/dogdick420cum,huggingtweets,2021-02-23 16:44:26+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/mitchellsolomo1,huggingtweets,2021-02-23 16:48:16+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/vsshole,huggingtweets,2021-02-23 16:48:29+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/cushbomb,huggingtweets,2021-02-23 16:51:30+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/atreyupilled,huggingtweets,2021-02-23 16:58:48+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/hunny6ee,huggingtweets,2021-02-23 16:59:07+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/shuos_,huggingtweets,2021-02-23 17:00:23+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/koriposting,huggingtweets,2021-02-23 17:01:01+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/youronlinedad,huggingtweets,2021-02-23 17:12:56+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/jonsolomon,huggingtweets,2021-02-23 17:14:56+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/jazzpomegranate,huggingtweets,2021-02-23 17:15:27+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/bleaksigilkeep,huggingtweets,2021-02-23 17:15:48+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/barzoople,huggingtweets,2021-02-23 17:20:51+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/realnamenumbers,huggingtweets,2021-02-23 17:28:24+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/frogethan,huggingtweets,2021-02-23 17:29:02+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/lanalilligant,huggingtweets,2021-02-23 17:41:26+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/imscribbledude,huggingtweets,2021-02-23 17:42:14+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/switcharooo,huggingtweets,2021-02-23 17:51:18+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/appleddragon,huggingtweets,2021-02-23 17:54:35+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/macalester2go,huggingtweets,2021-02-23 17:58:33+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/nintyclaire,huggingtweets,2021-02-23 18:02:06+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/axialcatwalk,huggingtweets,2021-02-23 18:04:41+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/3thanguy7,huggingtweets,2021-02-23 18:08:54+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/thefoxjulia,huggingtweets,2021-02-23 18:16:00+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/lyons____,huggingtweets,2021-02-23 18:18:50+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/zavaralho,huggingtweets,2021-02-23 18:22:55+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/w3disd3ad,huggingtweets,2021-02-23 18:32:00+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/macegrunow,huggingtweets,2021-02-23 18:32:41+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/thucydiplease,huggingtweets,2021-02-23 18:49:48+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/deleteevelyn,huggingtweets,2021-02-23 18:58:36+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
huggingtweets/liv_garde,huggingtweets,2021-02-23 18:59:11+00:00,limitations and bias,"the model suffers from the same limitations and bias as gpt-2.in addition, the data present in the user's tweets further affects the text generated by the model.",False,True,model suffer limitation bias gpt addition datum present user tweet far affect text generate model
